Ar,Budgetsaldo,Inkomster,Utgifter,StatusBudget,BNP,StatusBNP,Regering
1970,-3.3,,,Slutgiltig,6.9,Slutgiltig,
1971,-3.2,,,Slutgiltig,1,Slutgiltig,
1972,-6.6,,,Slutgiltig,2.3,Slutgiltig,
1973,-6.2,,,Slutgiltig,4,Slutgiltig,
1974,-10.4,,,Slutgiltig,3.3,Slutgiltig,
1975,-11.6,,,Slutgiltig,2.5,Slutgiltig,
1976,-6.2,,,Slutgiltig,1.2,Slutgiltig,
1977,-18.2,,,Slutgiltig,-1.4,Slutgiltig,
1978,-32.6,,,Slutgiltig,1.7,Slutgiltig,
1979,-45.5,,,Slutgiltig,3.8,Slutgiltig,
1980,-52.9,,,Slutgiltig,1.7,Slutgiltig,
1981,-66.3,,,Slutgiltig,-0.3,Slutgiltig,
1982,-83.1,,,Slutgiltig,1.4,Slutgiltig,
1983,-80,,,Slutgiltig,2.1,Slutgiltig,
1984,-75.4,,,Slutgiltig,4.3,Slutgiltig,
1985,-57.3,,,Slutgiltig,2.3,Slutgiltig,
1986,-39.2,,,Slutgiltig,2.9,Slutgiltig,
1987,-10,,,Slutgiltig,3.3,Slutgiltig,
1988,8.4,,,Slutgiltig,2.5,Slutgiltig,
1989,25.3,,,Slutgiltig,2.5,Slutgiltig,
1990,-19.4,,,Slutgiltig,0.8,Slutgiltig,
1991,-81.4,,,Slutgiltig,-1,Slutgiltig,
1992,-161.1,,,Slutgiltig,-1,Slutgiltig,
1993,-250,,,Slutgiltig,-2,Slutgiltig,
1994,-184.9,,,Slutgiltig,4.1,Slutgiltig,
1995,-138.6,,,Slutgiltig,4,Slutgiltig,
1996,-21,,,Slutgiltig,1.5,Slutgiltig,
1997,-6.2,,,Slutgiltig,2.9,Slutgiltig,
1998,9.7,,,Slutgiltig,4.2,Slutgiltig,
1999,82,,,Slutgiltig,4.5,Slutgiltig,
2000,101.9,800,698.1,Slutgiltig,4.7,Slutgiltig,S+Stöd
2001,38.7,755.1,716.4,Slutgiltig,1.6,Slutgiltig,S+Stöd
2002,3.5,730.5,729.3,Slutgiltig,2.1,Slutgiltig,S+Stöd
2003,-46.6,661.7,708.1,Slutgiltig,2.4,Slutgiltig,S+Stöd
2004,-50.5,694.4,747.8,Slutgiltig,4.3,Slutgiltig,S+Stöd
2005,14.1,745.8,731.8,Slutgiltig,2.8,Slutgiltig,S+Stöd
2006,18.4,810.3,791.9,Slutgiltig,4.7,Slutgiltig,S+Stöd
2007,103.2,863.7,760.5,Slutgiltig,3.4,Slutgiltig,Alliansen
2008,135.2,901.3,766.1,Slutgiltig,-0.6,Slutgiltig,Alliansen
2009,-176.1,709.5,885.7,Slutgiltig,-5.2,Slutgiltig,Alliansen
2010,-1.1,779.5,780.6,Slutgiltig,6,Slutgiltig,Alliansen
2011,67.8,872.4,804.6,Slutgiltig,2.7,Slutgiltig,Alliansen
2012,-24.9,787.6,812.5,Slutgiltig,-0.3,Slutgiltig,Alliansen
2013,-130.9,790.5,921.4,Slutgiltig,1.2,Slutgiltig,Alliansen
2014,-72.2,790.2,862.4,Slutgiltig,2.6,Slutgiltig,Alliansen
2015,-32.7,859.5,892.2,Preliminärt,4.5,Slutgiltig,S+Stöd
2016,85.3,1002.7,917.4,Preliminärt,3.2,Slutgiltig,S+Stöd
2017,7.4,993.7,986.3,Budget,2.4,Slutgiltig,S+Stöd
2018,43,1043,999,Budget,2.6,Prognos,S+Stöd
